season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP,PLAYER_ID,TEAM_ID
2018,Brook Lopez,30.0,LAL,74,34,40,0.459,1734.9466666666667,369,793,112,325,111,158,74,220,294,126,30,98,98,961,0.557,0.4098360655737705,0.19924337957124844,0.041,0.12,0.081,0.113,,0.23,,,,,,,,201572,1610612747
2018,Bruno Caboclo,22.0,SAC,12,4,8,0.333,106.29833333333333,9,31,3,17,5,6,7,15,22,4,3,4,4,26,0.386,0.5483870967741935,0.1935483870967742,0.062,0.146,0.102,0.056,,0.152,,,,,,,,203998,1610612758
2018,Bryn Forbes,24.0,SAS,80,46,34,0.575,1516.8916666666667,209,497,89,228,48,72,12,98,110,80,28,2,37,555,0.525,0.45875251509054327,0.1448692152917505,0.008,0.065,0.036,0.077,,0.159,,,,,,,,1627854,1610612759
2018,Buddy Hield,25.0,SAC,80,27,53,0.338,2024.2316666666666,416,933,176,408,71,81,55,252,307,155,85,22,124,1079,0.557,0.43729903536977494,0.08681672025723473,0.027,0.129,0.076,0.127,,0.236,,,,,,,,1627741,1610612758
2018,C.J. Williams,28.0,LAC,38,17,21,0.447,706.5016666666667,87,197,22,78,13,16,12,44,56,43,31,13,20,209,0.512,0.39593908629441626,0.08121827411167512,0.017,0.058,0.038,0.086,,0.134,,,,,,,,203710,1610612746
2018,CJ McCollum,26.0,POR,81,48,33,0.593,2923.67,667,1505,189,476,209,250,53,268,321,272,77,35,151,1732,0.536,0.31627906976744186,0.16611295681063123,0.017,0.089,0.053,0.156,,0.259,,,,,,,,203468,1610612757
2018,CJ Miles,31.0,TOR,70,50,20,0.714,1336.5,227,599,164,454,81,97,18,134,152,55,37,21,39,699,0.545,0.7579298831385642,0.16193656093489148,0.013,0.097,0.055,0.061,,0.214,,,,,,,,101139,1610612761
2018,Caleb Swanigan,21.0,POR,27,16,11,0.593,189.34666666666666,24,60,1,8,12,18,15,39,54,14,5,3,18,61,0.449,0.13333333333333333,0.3,0.075,0.207,0.139,0.124,,0.189,,,,,,,,1628403,1610612757
2018,Cameron Payne,23.0,CHI,25,7,18,0.28,581.5233333333333,87,215,35,91,12,16,18,51,69,113,26,9,36,221,0.498,0.4232558139534884,0.07441860465116279,0.027,0.089,0.056,0.294,,0.183,,,,,,,,1626166,1610612741
2018,Caris LeVert,23.0,BKN,71,25,46,0.352,1863.6833333333334,320,735,85,245,133,187,53,207,260,299,82,22,153,858,0.525,0.3333333333333333,0.254421768707483,0.026,0.104,0.065,0.265,,0.216,,,,,,,,1627747,1610612751
