season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP
2015,Matt Barnes,34.0,LAC,,,,,2271.0,,624.0,,,,95.0,,,,114.0,67.0,50.0,87.0,764.0,0.574,0.603,0.152,0.026,0.122,0.075,0.072,0.1159999999999999,0.149,11.3,4.3,2.2,2.1,0.091,1.6,2.1
2015,Earl Barron,33.0,PHX,,,,,143.0,,39.0,,,,12.0,,,,5.0,4.0,2.0,5.0,32.0,0.361,0.103,0.308,0.106,0.108,0.107,0.049,0.1009999999999999,0.151,5.0,0.0,-0.1,0.1,-0.011,-5.9,-0.1
2015,Will Barton,24.0,POR,,,,,300.0,,100.0,,,,15.0,,,,27.0,14.0,4.0,17.0,90.0,0.422,0.18,0.15,0.011,0.108,0.061,0.134,0.138,0.185,8.3,0.0,-0.4,0.4,0.002,-4.0,-0.2
2015,Will Barton,24.0,DEN,,,,,683.0,,253.0,,,,79.0,,,,54.0,34.0,15.0,44.0,307.0,0.533,0.265,0.312,0.035,0.172,0.1009999999999999,0.128,0.133,0.21,15.9,1.3,0.6,0.7,0.089,0.9,0.5
2015,Brandon Bass,29.0,BOS,,,,,1929.0,,683.0,,,,214.0,,,,104.0,41.0,32.0,83.0,866.0,0.557,0.047,0.313,0.078,0.149,0.113,0.086,0.096,0.195,16.3,5.3,3.4,1.9,0.132,-0.5,0.7
2015,Nicolas Batum,26.0,POR,,,,,2380.0,,600.0,,,,98.0,,,,341.0,78.0,40.0,132.0,664.0,0.516,0.515,0.163,0.0279999999999999,0.156,0.094,0.205,0.17,0.146,13.1,5.2,2.0,3.2,0.105,3.1,3.1
2015,Jerryd Bayless,26.0,MIL,,,,,1717.0,,516.0,,,,137.0,,,,233.0,59.0,12.0,133.0,598.0,0.519,0.233,0.266,0.015,0.125,0.07,0.21,0.188,0.186,11.1,2.4,0.3,2.0,0.066,-2.6,-0.3
2015,Aron Baynes,28.0,SAS,,,,,1122.0,,327.0,,,,104.0,,,,35.0,16.0,22.0,65.0,461.0,0.618,0.012,0.318,0.1119999999999999,0.207,0.161,0.049,0.148,0.178,15.9,3.9,2.3,1.6,0.166,-1.0,0.3
2015,Kent Bazemore,25.0,ATL,,,,,1324.0,,331.0,,,,100.0,,,,78.0,52.0,33.0,73.0,390.0,0.52,0.399,0.302,0.019,0.168,0.096,0.086,0.163,0.155,9.7,1.6,-0.4,1.9,0.057,-1.8,0.1
2015,Bradley Beal,21.0,WAS,,,,,2107.0,,851.0,,,,166.0,,,,194.0,76.0,18.0,123.0,962.0,0.521,0.304,0.195,0.031,0.096,0.064,0.15,0.1169999999999999,0.225,14.0,3.7,1.3,2.4,0.085,0.5,1.3
2015,Michael Beasley,26.0,MIA,,,,,505.0,,212.0,,,,26.0,,,,32.0,15.0,13.0,37.0,212.0,0.474,0.16,0.123,0.0289999999999999,0.179,0.106,0.115,0.142,0.242,10.6,-0.1,-0.6,0.5,-0.007,-4.7,-0.3
2015,Marco Belinelli,28.0,SAS,,,,,1388.0,,470.0,,,,99.0,,,,94.0,31.0,3.0,61.0,568.0,0.553,0.489,0.211,0.022,0.105,0.064,0.103,0.106,0.188,12.4,2.9,1.5,1.4,0.1,-0.5,0.5
2015,Jerrelle Benimon,23.0,UTA,,,,,3.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,,0.387,0.7659999999999999,0.578,0.0,1.0,0.153,4.7,0.0,0.0,0.0,-0.215,-26.9,0.0
2015,Anthony Bennett,21.0,MIN,,,,,894.0,,297.0,,,,64.0,,,,48.0,27.0,16.0,36.0,298.0,0.458,0.077,0.215,0.065,0.216,0.138,0.087,0.1,0.178,11.4,0.3,-0.1,0.4,0.017,-4.8,-0.6
2015,Patrick Beverley,26.0,HOU,,,,,1727.0,,532.0,,,,60.0,,,,192.0,59.0,23.0,83.0,568.0,0.509,0.607,0.113,0.043,0.108,0.076,0.172,0.129,0.161,11.3,3.5,1.7,1.8,0.096,0.8,1.2
2015,Sim Bhullar,22.0,SAC,,,,,3.0,,2.0,,,,0.0,,,,1.0,0.0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,0.365,0.1889999999999999,0.785,0.0,0.294,44.3,0.0,0.0,0.0,0.389,26.6,0.0
2015,Bismack Biyombo,22.0,CHA,,,,,1243.0,,186.0,,,,175.0,,,,16.0,18.0,99.0,52.0,304.0,0.578,0.0,0.941,0.1369999999999999,0.226,0.18,0.02,0.165,0.1159999999999999,15.2,4.0,1.8,2.2,0.156,-0.4,0.5
2015,Tarik Black,23.0,HOU,,,,,393.0,,83.0,,,,29.0,,,,8.0,6.0,2.0,19.0,105.0,0.548,0.012,0.349,0.163,0.193,0.178,0.031,0.166,0.127,11.6,0.9,0.5,0.4,0.113,-3.7,-0.2
